Date,Account,Category,Subcategory,Note,MYR,Income/Expense,Note2,Amount,Currency,Account3
08/06/2023 14:52:23,Public Bank,Game,Blue Archive,,14.99,Expense,,14.99,MYR,14.99
08/07/2023 19:34:41,Dompet,Food & Drink,Dinner,,21,Expense,,21,MYR,21
08/07/2023 20:35:56,Dompet,Health,Toiletries,,10.9,Expense,,10.9,MYR,10.9
08/07/2023 20:36:04,Dompet,Transportation,Minyak,,10,Expense,,10,MYR,10
08/08/2022 13:16:42,Public Bank,Credit Topup,Digi,DIGI,5,Expense,,5,MYR,5
08/09/2022 19:18:27,Dompet,Health,Toiletries,UBAT,65,Expense,,65,MYR,65
08/11/2022 14:17:35,Dompet,Food & Drink,Lunch,,14.8,Expense,,14.8,MYR,14.8
08/12/2022 17:45:08,Dompet,Food & Drink,Dinner,,7.5,Expense,,7.5,MYR,7.5
08/12/2022 22:09:36,Bank Islam,Other,,,40,Expense,,40,MYR,40
09/01/2023 16:12:10,Dompet,Allowance,,,70,Income,,70,MYR,70
09/01/2023 18:03:05,Dompet,Food & Drink,Dinner,,6.5,Expense,,6.5,MYR,6.5
09/02/2023 12:40:59,Dompet,Food & Drink,Lunch,,7,Expense,,7,MYR,7
09/02/2023 17:54:49,Dompet,Food & Drink,Dinner,,5,Expense,,5,MYR,5
09/02/2023 17:54:53,Dompet,Food & Drink,Drink,,1,Expense,,1,MYR,1
09/03/2023 09:55:45,Bank Islam,Allowance,,,50,Income,,50,MYR,50
09/03/2023 09:55:55,Dompet,Food & Drink,Drink,,4,Expense,,4,MYR,4
09/03/2023 17:42:42,Bank Islam,Apparel,Fashion,,19.35,Expense,,19.35,MYR,19.35
09/03/2023 17:42:52,Dompet,Other,,,10,Expense,,10,MYR,10
09/03/2023 17:46:58,Dompet,Health,Medicine,,4,Expense,,4,MYR,4
09/04/2023 10:25:38,Public Bank,Other,,LESEN KETA,60,Expense,,60,MYR,60
09/04/2023 21:57:53,Bank Islam,Dompet,,,100,Transfer-Out,,100,MYR,100
09/05/2023 13:05:05,Dompet,Food & Drink,Lunch,,4,Expense,,4,MYR,4
09/06/2023 20:17:42,Dompet,Food & Drink,Dinner,,3,Expense,,3,MYR,3
09/07/2023 10:43:45,Dompet,Food & Drink,Breakfast,,6,Expense,,6,MYR,6
09/07/2023 10:45:34,Dompet,Food & Drink,Lunch,,5.6,Expense,,5.6,MYR,5.6
09/07/2023 11:36:58,Dompet,Food & Drink,Drink,,3.6,Expense,,3.6,MYR,3.6
09/08/2022 20:01:57,Dompet,Health,Toiletries,,24.35,Expense,SABUN MANDI ,24.35,MYR,24.35
09/08/2023 18:54:41,Dompet,Health,Gym,,8,Expense,,8,MYR,8
09/08/2023 18:54:46,Dompet,Food & Drink,Dinner,,30.8,Expense,,30.8,MYR,30.8
09/10/2022 18:35:28,Dompet,Food & Drink,,,5,Expense,,5,MYR,5
09/10/2022 22:46:27,Public Bank,Credit Topup,Yoodo,,23,Expense,,23,MYR,23
09/11/2022 08:24:28,Dompet,Food & Drink,Breakfast,,5,Expense,,5,MYR,5
09/11/2022 08:24:58,Boost,Food & Drink,Breakfast,,12.55,Expense,,12.55,MYR,12.55
09/11/2022 11:27:07,Dompet,Food & Drink,Lunch,,9.8,Expense,,9.8,MYR,9.8
09/12/2022 13:13:47,Dompet,Food & Drink,Lunch,,12,Expense,,12,MYR,12
09/12/2022 17:49:47,Dompet,Food & Drink,Dinner,,4,Expense,,4,MYR,4
09/12/2022 18:00:59,Public Bank,Game,Genshin,,19.9,Expense,,19.9,MYR,19.9
10/01/2023 12:54:55,Dompet,Food & Drink,Lunch,,11.5,Expense,,11.5,MYR,11.5
10/01/2023 18:13:02,Dompet,Food & Drink,Dinner,,8.5,Expense,,8.5,MYR,8.5
10/02/2023 15:54:28,Dompet,Food & Drink,Barang Dapur,,24.4,Expense,,24.4,MYR,24.4
